"","pop_city","sec_city","gdp_city","pgdp_city","firm_city","gonglu","emit_ww","emit_so1","emi_dust1","city_code"
"116",169,89326,8401484,50989,321,1803,3928,53655,1505188,64881
"117",200,117104,9982752,52330,648,6322,1832,11934,1830760,49590
"118",520,211709,20961347,43338,1430,8820,8561,393617,2365248,17450
"119",124,93563,10361912,88548,392,1247,3277,94601,1775098,88164
"120",128,94202,6953489,60136,290,1957,1669,1338610,758480,30343
"121",971,230085,22071959,25761,1530,8801,10128,65068,3020118,89261
"122",535,180271,14613721,29772,1247,4744,3503,90609,949332,18404
"123",602,234362,17819520,32269,1446,4163,5506,156549,2929441,14042
"124",401,200797,12109070,30259,943,4351,NA,NA,NA,49603
"125",782,194954,18177664,26996,1162,8157,6124,106720,2548713,62265
"126",633,576818,65361165,90999,1963,3212,5993,207015,3546400,78395
"127",791,774487,100112900,109407,4431,4532,6865,229041,2138279,39012
"128",432,550589,44120100,94587,2976,581,14892,548241,5771291,22894
"129",413,262097,21426335,54984,1363,2493,7399,232612,4709752,57095
"130",193,263597,34796000,164024,954,599,8034,580397,1636493,96057
"131",655,572025,69256587,98388,2575,5019,8535,876946,531477,99066
"132",901,440154,51706000,59275,3812,5972,23805,563373,5078453,91232
"133",876,491244,43018200,51662,2599,3623,13344,413951,6480684,15195
"134",569,404323,33167900,59027,1640,2920,7011,222082,4239446,86298
"135",256,385595,32122000,114220,1883,2666,2428,163013,1587804,8775
"136",300,165584,18024900,62357,657,2414,6527,158980,4005656,101156
"137",129,110252,7027600,51533,548,137,1619,225866,3950211,35014
"138",1141,468153,40267500,38803,4047,4943,9530,379021,5568948,33465
"139",593,254814,29329900,50856,2991,1893,7740,326504,3232236,64423
"140",633,199957,28591800,47624,2646,1809,8264,1416298,6940470,42055
"141",392,317382,24701013,63745,1201,1136,20086,1887735,14403851,60865
"142",1015,187558,25602400,29904,3264,4874,8507,225313,2201468,102295
"143",827,1060680,81139666,84114,2897,11007,7966,248465,8791704,19948
"144",559,294994,17551002,38619,1343,4070,3215,42895,343657,103238
"145",737,369676,38201075,56410,1920,11456,4932,346274,4810528,82415
"146",568,304275,18251414,36708,877,7781,2630,210421,4169344,44447
"147",626,354811,20298494,39603,1110,5446,2153,317054,2327062,97444
"148",170,156978,7717894,47940,562,1248,2581,173508,1916761,29745
"149",646,407924,21669705,37805,1257,5458,8180,230384,4258404,95404
"150",374,322079,20950796,59183,1336,2628,8440,206834,2619649,39954
"151",433,246245,14495555,40059,1010,3890,4064,45522,1629077,52323
"152",510,290465,23777133,54522,1718,3956,4279,103836,2588688,27725
"153",269,206849,10819257,41138,701,2337,2018,48451,708255,93791
"154",229,131045,13258631,58894,653,2335,3808,193865,2499913,99633
"155",1195,430806,31149653,31010,2479,11058,3094,87274,3001922,65211
"156",977,363876,19891538,27332,1358,8231,2967,79472,818021,17564
"157",908,278298,20378010,31733,1294,6773,670,83600,1391241,63964
